Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Germany,Germany,DE,162.59,212.91,81.25,73.73,entsoe.eu,false,
2022-01-01 01:00:00,Germany,Germany,DE,165.78,217.13,80.81,72.83,entsoe.eu,false,
2022-01-01 02:00:00,Germany,Germany,DE,170.37,222.68,80.31,72.05,entsoe.eu,false,
2022-01-01 03:00:00,Germany,Germany,DE,175.93,229.27,79.61,70.79,entsoe.eu,false,
2022-01-01 04:00:00,Germany,Germany,DE,188.22,243.39,78.25,68.62,entsoe.eu,false,
2022-01-01 05:00:00,Germany,Germany,DE,193.12,248.69,77.81,67.96,entsoe.eu,false,
2022-01-01 06:00:00,Germany,Germany,DE,205.38,261.89,76.57,65.98,entsoe.eu,false,
2022-01-01 07:00:00,Germany,Germany,DE,215.76,274.33,75.24,63.58,entsoe.eu,false,
2022-01-01 08:00:00,Germany,Germany,DE,214.56,273.21,75.37,63.79,entsoe.eu,false,
2022-01-01 09:00:00,Germany,Germany,DE,204.69,263.45,76.28,64.12,entsoe.eu,false,
2022-01-01 10:00:00,Germany,Germany,DE,202.26,261.15,76.41,63.92,entsoe.eu,false,
2022-01-01 11:00:00,Germany,Germany,DE,209.56,268.92,76.1,64.38,entsoe.eu,false,
2022-01-01 12:00:00,Germany,Germany,DE,211.75,272.06,75.71,63.38,entsoe.eu,false,
2022-01-01 13:00:00,Germany,Germany,DE,241.25,301.52,73.9,60.9,entsoe.eu,false,
2022-01-01 14:00:00,Germany,Germany,DE,282.05,343.7,70.34,56.51,entsoe.eu,false,
2022-01-01 15:00:00,Germany,Germany,DE,303.76,363.55,69.72,56.83,entsoe.eu,false,
2022-01-01 16:00:00,Germany,Germany,DE,306.36,364.09,70.18,58.92,entsoe.eu,false,
2022-01-01 17:00:00,Germany,Germany,DE,306.64,363.28,70.76,61.71,entsoe.eu,false,
2022-01-01 18:00:00,Germany,Germany,DE,290.03,346.17,71.79,63.74,entsoe.eu,false,
2022-01-01 19:00:00,Germany,Germany,DE,261.6,317.29,73.51,65.47,entsoe.eu,false,
