Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Portugal,Portugal,PT,54.42,97.45,88.45,76.88,entsoe.eu,false,
2022-01-01 01:00:00,Portugal,Portugal,PT,61.37,105.89,87.24,72.98,entsoe.eu,false,
2022-01-01 02:00:00,Portugal,Portugal,PT,66.74,112.16,86.24,70.68,entsoe.eu,false,
2022-01-01 03:00:00,Portugal,Portugal,PT,64.61,109.78,86.72,71.75,entsoe.eu,false,
2022-01-01 04:00:00,Portugal,Portugal,PT,61.8,106.09,87.24,72.56,entsoe.eu,false,
2022-01-01 05:00:00,Portugal,Portugal,PT,61.91,105.77,87.16,72.73,entsoe.eu,false,
2022-01-01 06:00:00,Portugal,Portugal,PT,60.87,104.21,87.31,73.88,entsoe.eu,false,
2022-01-01 07:00:00,Portugal,Portugal,PT,55.77,98.63,88.28,76.46,entsoe.eu,false,
2022-01-01 08:00:00,Portugal,Portugal,PT,51.27,92.2,89.23,77.6,entsoe.eu,false,
2022-01-01 09:00:00,Portugal,Portugal,PT,42.53,82.26,90.95,82.03,entsoe.eu,false,
2022-01-01 10:00:00,Portugal,Portugal,PT,40.99,81.28,91.33,83.08,entsoe.eu,false,
2022-01-01 11:00:00,Portugal,Portugal,PT,43.23,83.51,90.83,80.65,entsoe.eu,false,
2022-01-01 12:00:00,Portugal,Portugal,PT,47.54,87.94,89.97,77.73,entsoe.eu,false,
2022-01-01 13:00:00,Portugal,Portugal,PT,50.89,92.37,89.27,77.15,entsoe.eu,false,
2022-01-01 14:00:00,Portugal,Portugal,PT,51.96,94.14,89.22,77.98,entsoe.eu,false,
2022-01-01 15:00:00,Portugal,Portugal,PT,57.07,100.06,88.17,75.72,entsoe.eu,false,
2022-01-01 16:00:00,Portugal,Portugal,PT,46.7,89.33,90.01,81.27,entsoe.eu,false,
2022-01-01 17:00:00,Portugal,Portugal,PT,46.71,84.35,91.87,85.87,entsoe.eu,false,
2022-01-01 18:00:00,Portugal,Portugal,PT,47.06,82.14,92.45,87.06,entsoe.eu,false,
2022-01-01 19:00:00,Portugal,Portugal,PT,37.71,72.6,92.72,87.55,entsoe.eu,false,
2022-01-01 20:00:00,Portugal,Portugal,PT,36.26,71.91,92.37,86.8,entsoe.eu,false,
2022-01-01 21:00:00,Portugal,Portugal,PT,41.68,78.67,91.11,83.12,entsoe.eu,false,
2022-01-01 22:00:00,Portugal,Portugal,PT,54.58,94.32,88.6,76.19,entsoe.eu,false,
2022-01-01 23:00:00,Portugal,Portugal,PT,50.36,91.32,89.3,78.89,entsoe.eu,false,
